Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T17:19:03,0,39.00,22.00,4.75,4850,Normal
2015-04-30T17:20:03,0,39.00,22.00,4.84,4850,Normal
2015-04-30T17:21:03,0,39.00,22.00,4.76,4850,Normal
2015-04-30T17:22:02,0,39.00,22.00,4.75,4850,Normal
2015-04-30T17:23:02,0,39.00,22.00,4.80,4850,Normal
2015-04-30T17:24:02,0,39.00,22.00,4.88,4850,Normal
2015-04-30T17:25:01,0,39.00,22.00,4.77,4850,Normal
2015-04-30T17:26:01,0,39.00,22.00,4.89,4850,Normal
2015-04-30T17:27:01,0,39.00,22.00,4.72,4850,Normal
2015-04-30T17:28:00,0,39.00,22.00,4.80,4850,Normal
2015-04-30T17:29:00,0,39.00,22.00,4.90,4850,Normal
2015-04-30T17:30:00,0,39.00,22.00,4.82,4850,Normal
2015-04-30T17:31:08,0,39.00,22.00,4.86,4850,Normal
2015-04-30T17:32:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T17:33:07,0,39.00,22.00,4.81,4850,Normal
2015-04-30T17:34:07,0,39.00,22.00,4.78,4850,Normal
2015-04-30T17:35:06,0,39.00,22.00,4.84,4850,Normal
2015-04-30T17:36:06,0,39.00,22.00,4.84,4850,Normal
2015-04-30T17:37:06,0,39.00,22.00,4.75,4850,Normal
2015-04-30T17:38:05,0,39.00,22.00,4.75,4850,Normal
2015-04-30T17:39:05,0,39.00,22.00,4.79,4850,Normal
2015-04-30T17:40:05,0,39.00,22.00,4.78,4850,Normal
2015-04-30T17:41:04,0,39.00,22.00,4.82,4850,Normal
2015-04-30T17:42:04,0,39.00,22.00,4.77,4850,Normal
2015-04-30T17:43:04,0,39.00,22.00,4.76,4850,Normal
2015-04-30T17:44:03,0,39.00,22.00,4.84,4850,Normal
2015-04-30T17:45:03,0,39.00,22.00,4.85,4850,Normal
2015-04-30T17:46:03,0,39.00,22.00,4.78,4850,Normal
2015-04-30T17:47:02,0,39.00,22.00,4.76,4850,Normal
